species,category_x,e_bird_group,total_count,number_years,sort_v2025,species_code,taxon_concept_id,clements_v2025_change,text_for_website_v2025,category_y,scientific_name,authority,name_and_authority,range,order,family,extinct,extinct_year,sort_v2024
Western Gull,species,"Gulls, Terns, and Skimmers",434,8,6528,wesgul,avibase-575A3E3B,NA,NA,species,Larus occidentalis,"Audubon, 1839","Larus occidentalis Audubon, 1839",breeds on islands of western North Pacific coast from northwestern Washington to Isla Guadelupe and central Baja California (northwestern Mexico); some winter to southern British Columbia and southern Baja California,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",NA,NA,6461
Bushtit,species,Penduline-Tits and Long-tailed Tits,1362,8,25253,bushti,avibase-AE37ED4D,NA,NA,species,Psaltriparus minimus,"(Townsend, 1837)","Psaltriparus minimus (Townsend, 1837)","disjunctly in varied habitats including mixed woodland, second growth, arid scrub, and coastal chaparral from southwestern British Columbia (southwestern Canada) southwards to northern Baja California, and isolated in the southern tip of Baja California (northwestern Mexico), mountains of Mexico southwards to southern Guatemala, and eastwards to southeastern Colorado and central Texas",Passeriformes,Aegithalidae (Long-tailed Tits),NA,NA,25018
House Sparrow,species,Old World Sparrows,401,8,31534,houspa,avibase-240E3390,NA,NA,species,Passer domesticus,"(Linnaeus, 1758)","Passer domesticus (Linnaeus, 1758)","native range extends from British Isles and Scandinavia to northern Africa, eastward through southeastern Siberia and western southeast Asia",Passeriformes,Passeridae (Old World Sparrows),NA,NA,31261
Great Egret,species,"Herons, Ibis, and Allies",294,8,7729,greegr,avibase-49D9148A,NA,NA,species,Ardea alba,"Linnaeus, 1758","Ardea alba Linnaeus, 1758","central Europe to central Asia (southward to Iran), sub-Saharan Africa and Madagascar, southern Asia from Pakistan eastward in sub-Himalayan region to southeastern Russia and Japan, southward to Indonesia, Australia (including Tasmania but not western deserts), and New Zealand (very local), and southern Canada to Tierra del Fuego and West Indies",Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",NA,NA,7635
Killdeer,species,Shorebirds,2429,8,5827,killde,avibase-BCF9A19A,NA,NA,species,Charadrius vociferus,"Linnaeus, 1758","Charadrius vociferus Linnaeus, 1758","breeds inland subarctic North America to central Mexico, Caribbean; locally coastal southwestern Central America, and coastal Ecuador to far northwestern Chile; winters to northern South America",Charadriiformes,Charadriidae (Plovers and Lapwings),NA,NA,5770
Semipalmated Plover,species,Shorebirds,806,8,5834,semplo,avibase-95E28A57,range,"range changed from ""breeds northern North America; winters to southern South America and Hawaiian Islands"" to ""breeds inland high Arctic from Chukotskiy Peninsula (northeastern Russia) eastward through Aleutian Islands and across Canada to Newfoundland and Nova Scotia (southeastern Canada); winters coastally from Oregon and New Jersey southward to northern Chile and northern Argentina; also West Indies and Galápagos"".",species,Charadrius semipalmatus,"Bonaparte, 1825","Charadrius semipalmatus Bonaparte, 1825",breeds inland high Arctic from Chukotskiy Peninsula (northeastern Russia) eastward through Aleutian Islands and across Canada to Newfoundland and Nova Scotia (southeastern Canada); winters coastally from Oregon and New Jersey southward to northern Chile and northern Argentina; also West Indies and Galápagos,Charadriiformes,Charadriidae (Plovers and Lapwings),NA,NA,5777
Barn Swallow,species,Martins and Swallows,82,8,24187,barswa,avibase-58C502EA,NA,NA,species,Hirundo rustica,"Linnaeus, 1758","Hirundo rustica Linnaeus, 1758","Holarctic, breeding from British Isles and southern Scandinavia to North Africa, eastward to northeastern Siberia and Japan, southward to Himalayas, and southern Alaska and Canada to central Mexico, and disjunctly central Argentina; most populations winter in Southern Hemisphere",Passeriformes,Hirundinidae (Swallows),NA,NA,23957
Lesser Goldfinch,species,"Finches, Euphonias, and Allies",556,8,32609,lesgol,avibase-CD5C21CA,NA,NA,species,Spinus psaltria,"(Say, 1822)","Spinus psaltria (Say, 1822)","varied woodland, scrub, and forest-edge habitats and agricultural fields from western USA, from central Washington to southern Wyoming and southwards to southern Texas, Baja California, and through mountains of Mexico to northern Nicaragua, also in Yucatan Peninsula, southwestern Costa Rica and Panama, Sierra de Perijá, Sierra Nevada de Santa Marta, central Venezuela, and the Andes from western Venezuela southwards along the Andes of Colombia to northern Ecuador and from southern Ecuador to north-central Peru (to Ancash)",Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",NA,NA,32330
Red-shouldered Hawk,species,"Vultures, Hawks, and Allies",99,8,8487,reshaw,avibase-EA4D6C0B,NA,NA,species,Buteo lineatus,"(Gmelin, 1788)","Buteo lineatus (Gmelin, 1788)","bottomland hardwood, riparian woodland, deciduous swamp forest, and mixed deciduous-coniferous forest from southeasternmost Canada, in southern Quebec, western Ontario, and New Brunswick, southward through eastern US to southern Florida and the Gulf of Mexico coast, westward to central Minnesota, eastern Kansas, Oklahoma, and Texas, and as non-breeder southward to north-central Mexico; also in the western US from southernmost Oregon southward to central Baja California",Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,8391
Red-winged Blackbird,species,Blackbirds,566,8,33779,rewbla,avibase-C86D078E,NA,NA,species,Agelaius phoeniceus,"(Linnaeus, 1766)","Agelaius phoeniceus (Linnaeus, 1766)","various freshwater and salt marshes, including meadows and cultivated fields from southern Alaska and Yukon eastwards to Labrador (northwestern to eastern Canada), and to southern Florida, northern Bahamas, northern Baja California, and soutward across Mexico to coastal Yucatan Peninsula and locally in Central America to northwestern Costa Rica; largely resident, with winter wandering",Passeriformes,Icteridae (Troupials and Allies),NA,NA,33500
Bewick's Wren,species,Wrens,159,8,27362,bewwre,avibase-603194D3,NA,NA,species,Thryomanes bewickii,"(Audubon, 1827)","Thryomanes bewickii (Audubon, 1827)","disjunctly in bushy and scrubby areas, thickets, riparian woodland, and chaparral of far southwestern British Colombia (southwestern Canada) along Pacific coast southwards to southern Baja California, and in interior USA from southern Wyoming to central Missouri southwards through Arizona and eastern Texas to central Oaxaca; very local and declining breeder in eastern USA to Tennessee (formerly more widespread); extinct on San Clemente and Guadalupe islands",Passeriformes,Troglodytidae (Wrens),NA,NA,27121
Black-crowned Night Heron,species,"Herons, Ibis, and Allies",205,8,7600,bcnher,avibase-6BB94D7E,NA,NA,species,Nycticorax nycticorax,"(Linnaeus, 1758)","Nycticorax nycticorax (Linnaeus, 1758)","Eurasia southward to Indonesia, and Africa and Madagascar; southern Canada to Tierra del Fuego and Falkland Islands",Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",NA,NA,7513
Downy Woodpecker,species,Woodpeckers,37,8,11400,dowwoo,avibase-1B2A6386,NA,NA,species,Dryobates pubescens,"(Linnaeus, 1766)","Dryobates pubescens (Linnaeus, 1766)","mostly deciduous woodland in North America from western Alaska southward across Canada and the US southward to northern Baja California Norte, in Mexico, southern Texas and southern Florida, and eastward across Canada to the provinces of Newfoundland and Nova Scotia",Piciformes,Picidae (Woodpeckers),NA,NA,11287
Mourning Dove,species,Pigeons and Doves,291,8,2412,moudov,avibase-00124D98,NA,NA,species,Zenaida macroura,"(Linnaeus, 1758)","Zenaida macroura (Linnaeus, 1758)",southern Canada through the USA and Greater Antilles southward to western Panama,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,2373
American Crow,species,"Jays, Magpies, Crows, and Ravens",1586,8,21557,amecro,avibase-69544B59,NA,NA,species,Corvus brachyrhynchos,"Brehm, 1822","Corvus brachyrhynchos Brehm, 1822","varied habitats from forest and woodland to open fields and cities from southern coastal Alaska, and southern Northwest Territories eastwards to southern Labrador (northwestern to northeastern Canada) southwards to far northern Baja California, southern Texas, and southern Florida; introduced Bermuda",Passeriformes,"Corvidae (Crows, Jays, and Magpies)",NA,NA,21333
Allen's Hummingbird,species,Hummingbirds,112,8,4831,allhum,avibase-C25794D5,NA,NA,species,Selasphorus sasin,"(Lesson, 1829)","Selasphorus sasin (Lesson, 1829)",southern Oregon to southern California including the Channel Islands; winters to central Mexico,Apodiformes,Trochilidae (Hummingbirds),NA,NA,4774
Turkey Vulture,species,"Vultures, Hawks, and Allies",158,8,7815,turvul,avibase-36B3872D,NA,NA,species,Cathartes aura,"(Linnaeus, 1758)","Cathartes aura (Linnaeus, 1758)",breeds southern Canada through Greeater Antilles and South America to Tierra del Fuego and Falkland Islands,Cathartiformes,Cathartidae (New World Vultures),NA,NA,7720
Cooper's Hawk,species,"Vultures, Hawks, and Allies",123,8,8278,coohaw,avibase-EB98812F,NA,NA,species,Astur cooperii,"(Bonaparte, 1828)","Astur cooperii (Bonaparte, 1828)",woodland of southern Canada and USA; winters to Central America,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,8183
