species,category_x,e_bird_group,total_count,number_years,sort_v2025,species_code,taxon_concept_id,clements_v2025_change,text_for_website_v2025,category_y,scientific_name,authority,name_and_authority,range,order,family,extinct,extinct_year,sort_v2024
Eurasian Collared-Dove,species,Pigeons and Doves,54,8,2031,eucdov,avibase-0C1EFC9B,NA,NA,species,Streptopelia decaocto,"(Frivaldszky, 1838)","Streptopelia decaocto (Frivaldszky, 1838)","Europe to Middle East, India, Sri Lanka, western China, and Korea; introduced in North America, and occurs in the USA (except northeastern), southern Canada (except eastern) and southern Alaska, the West Indies, and northern Mexico locally to southern Mexico",Columbiformes,Columbidae (Pigeons and Doves),NA,NA,1994
Hermit Thrush,species,Thrushes,11,7,28333,herthr,avibase-B01E8BD4,NA,NA,species,Catharus guttatus,"(Pallas, 1811)","Catharus guttatus (Pallas, 1811)","breeds in varied coniferous, mixed and deciduous forests, and woodland from western Alaska eastwards to southern Labrador (eastern Canada) and northeastern USA, southwards in mountains of western USA to southern California, with an isolated population in northern Baja California (northwestern Mexico), and far southwestern Texas, and in the Appalachian Mountains southwards to North Carolina (local); winters from coastal southwestern Canada southwards to Baja California, across southern half of the USA southwards to to central Guatemala, southern Florida, and the Bahamas (scarce)",Passeriformes,Turdidae (Thrushes and Allies),NA,NA,28081
Lark Sparrow,species,New World Sparrows,116,8,33029,larspa,avibase-78509A5D,NA,NA,species,Chondestes grammacus,"(Say, 1822)","Chondestes grammacus (Say, 1822)","breeds shrub-steppe, prairie, and woodland-grassland ecotones from southern British Columbia eastward to southern Manitoba (interior southwestern to south-central Canada) southwards across interior western and central USA to southern California, and Zacatecas and San Luis Potosi (north-central Mexico), and eastwards to western Indiana and Arkansas, irregularly farther east; winters from southern USA southwards to southern Baja California and to southeastern Oaxaca (southern Mexico)",Passeriformes,Passerellidae (New World Sparrows),NA,NA,32747
Tropical Kingbird,species,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",18,7,17452,trokin,avibase-BB6B236F,NA,NA,species,Tyrannus melancholicus,"Vieillot, 1819","Tyrannus melancholicus Vieillot, 1819","southern Arizona and Sonora, and central Tamaulipas to coastal southwestern Peru and throughout lowland South America to central Argentina; northern and southern populations migratory",Passeriformes,Tyrannidae (Tyrant Flycatchers),NA,NA,17283
Lincoln's Sparrow,species,New World Sparrows,67,7,33310,linspa,avibase-AF49F890,NA,NA,species,Melospiza lincolnii,"(Audubon, 1834)","Melospiza lincolnii (Audubon, 1834)","breeds in boggy woodland and willows from western Alaska to Newfoundland (northeastern Canada), southwards through mountains of western USA to southern California and northern New Mexico, and southwards in eastern Canada to northern Michigan, Wisconsin and Minnesota; winters in shrubby woodland along the Pacific coast of the USA southward to Baja California and from the southern USA across most of Mexico (rare on Yucatan Peninsula), southeastwards to southeastern Honduras",Passeriformes,Passerellidae (New World Sparrows),NA,NA,33028
Virginia Rail,species,"Rails, Gallinules, and Allies",10,5,5297,virrai,avibase-87705CC4,NA,NA,species,Rallus limicola,"Vieillot, 1819","Rallus limicola Vieillot, 1819","breeds southern Canada and USA; winters to Baja California, southeastern Mexico (Puebla, México, Veracruz, and Chiapas), and Guatemala",Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",NA,NA,5240
Peregrine Falcon,species,Falcons and Caracaras,8,4,12114,perfal,avibase-47E58408,NA,NA,species,Falco peregrinus,"Tunstall, 1771","Falco peregrinus Tunstall, 1771","global across open habitats, lowland to montane, on all wooded continents, and many offshore islands; most northern populations migrate southward in winter; breeding absent in Amazon Basin, Sahara Desert, and most steppes of central and eastern Asia",Falconiformes,Falconidae (Falcons and Caracaras),NA,NA,11997
Belted Kingfisher,species,Kingfishers,25,7,10306,belkin1,avibase-3558066B,range,"range changed from ""central and eastern Canada to northern South America including Trinidad and Tobago and West Indies"" to ""breeds southern Alaska eastward across central and eastern Canada, southward through south-central USA; winters to northern South America including Trinidad and Tobago and West Indies"".",species,Megaceryle alcyon,"(Linnaeus, 1758)","Megaceryle alcyon (Linnaeus, 1758)","breeds southern Alaska eastward across central and eastern Canada, southward through south-central USA; winters to northern South America including Trinidad and Tobago and West Indies",Coraciiformes,Alcedinidae (Kingfishers),NA,NA,10202
Caspian Tern,species,"Gulls, Terns, and Skimmers",17,4,6718,caster1,avibase-BC06BC0D,NA,NA,species,Hydroprogne caspia,"(Pallas, 1770)","Hydroprogne caspia (Pallas, 1770)","breeds patchily coastal Baltic Sea and inland southeast Europe to western Mongolia and Ussuriland (southeastern Russia) and northeastern China and southern Asian coasts; coastal and inland western and southern Africa; Europa (west of southern Madagascar, Mozambique Channel), coastal Madagascar and Aldabra group (southwestern Seychelles); coastal and inland northern and eastern Australia, coastal New Zealand (North, South and Stewart islands); inland Northwest Territories to northeastern Canada, in south to central California and Great Lakes; winters to coastal Africa, Red Sea, Persian Gulf, India, Thailand, Malay Peninsula, and Vietnam; eastern Pacific and Caribbean to Panama",Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",NA,NA,6644
Lesser Yellowlegs,species,Shorebirds,8,4,6145,lesyel,avibase-2C7A2673,range,"range changed from ""Alaska and Canada; winters to Tierra del Fuego and Galapagos"" to ""breeds subarctic tundra to forest from Alaska mainland eastward to James Bay and probably central Quebec (east-central Canada); winters southern USA throughout Caribbean southward to Tierra del Fuego"".",species,Tringa flavipes,"(Gmelin, 1789)","Tringa flavipes (Gmelin, 1789)",breeds subarctic tundra to forest from Alaska mainland eastward to James Bay and probably central Quebec (east-central Canada); winters southern USA throughout Caribbean southward to Tierra del Fuego,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,6083
Spotted Sandpiper,species,Shorebirds,10,5,6126,sposan,avibase-0D88C072,range,"range changed from ""breeds North America; winters to southern South America"" to ""breeds inland waterbody margins from Aleutian Islands and Alaska mainland except North Slope eastward through Canada (except far northern) to Newfoundland, and southward to southwestern and east-central USA; winters southern USA and Caribbean southward to northern Chile and Argentina"".",species,Actitis macularius,"(Linnaeus, 1766)","Actitis macularius (Linnaeus, 1766)","breeds inland waterbody margins from Aleutian Islands and Alaska mainland except North Slope eastward through Canada (except far northern) to Newfoundland, and southward to southwestern and east-central USA; winters southern USA and Caribbean southward to northern Chile and Argentina",Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,6064
Black-chinned Hummingbird,species,Hummingbirds,3,3,4803,bkchum,avibase-4BB4F257,NA,NA,species,Archilochus alexandri,"(Bourcier & Mulsant, 1846)","Archilochus alexandri (Bourcier & Mulsant, 1846)",breeds drier parts of southern British Columbia to northwestern Mexico; winters to southern Mexico,Apodiformes,Trochilidae (Hummingbirds),NA,NA,4748
Rufous Hummingbird,species,Hummingbirds,7,4,4826,rufhum,avibase-1E1B6D19,range,"range changed from ""Alaska to northwestern USA; winters to southern Mexico"" to ""breeds Alaska to northwestern USA; winters to southern Mexico"".",species,Selasphorus rufus,"(Gmelin, 1788)","Selasphorus rufus (Gmelin, 1788)",breeds Alaska to northwestern USA; winters to southern Mexico,Apodiformes,Trochilidae (Hummingbirds),NA,NA,4769
Snow Goose,species,Waterfowl,48,6,267,snogoo,avibase-D3A260BC,NA,NA,species,Anser caerulescens,"(Linnaeus, 1758)","Anser caerulescens (Linnaeus, 1758)","Arctic tundra near lakes, ponds, streams, low meadows, braided deltas, and riverine islands in the islands of northern Canada and northwestern Greenland southward to the Arctic coast of Canada and Alaska, coastal Hudson Bay, Wrangel Island, and far northeastern Siberia; winters locally in western US, in central US mainly along the Mississippi River basin, and in the Atlantic coast of the US and southward to northern Mexico, south in the highlands of central Mexico to northern Jalisco and Guanajuato, and along the Gulf of Mexico coast southward to Veracruz",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,257
Merlin,species,Falcons and Caracaras,8,6,12062,merlin,avibase-F3DA111C,NA,NA,species,Falco columbarius,"Linnaeus, 1758","Falco columbarius Linnaeus, 1758","breeds Holarctic, from Iceland and Faroe Islands to Sakhalin, and mountains and steppes of central Asia, and northern North America southward to northern tier of US states; winters to northern Africa, tropical Asia, and northern South America",Falconiformes,Falconidae (Falcons and Caracaras),NA,NA,11947
Common Gull,species,"Gulls, Terns, and Skimmers",53,4,6513,mewgul,avibase-00DA9D91,NA,NA,species,Larus canus,"Linnaeus, 1758","Larus canus Linnaeus, 1758","breeds mostly wetlands, subarctic and low Arctic of Palearctic from Iceland and northwestern and central Europe to Kamchatka (eastern Siberia), and in the south disjunctly in western and central Asia; winters Europe to northern Africa, Mediterranean, Black and Caspian seas, and Persian Gulf; disjunctly Sea of Okhotsk (southeastern Russia), Japan, and Korean Peninsula to southeastern China",Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",NA,NA,6447
Long-billed Curlew,species,Shorebirds,47,6,6021,lobcur,avibase-5284C27B,NA,NA,species,Numenius americanus,"Bechstein, 1812","Numenius americanus Bechstein, 1812","breeds inland grassland from southern British Columbia eastward to southwestern Saskatchewan (southwestern Canada) southward to northeastern California and northeastern New Mexico (southwestern USA); winters to coastal and inland California, and Gulf Coast to central Panama and western Yucatan Peninsula",Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,5961
Hudsonian Whimbrel,species,Shorebirds,6,2,6011,whimbr3,avibase-4D844D5E,split,"Polytypic Whimbrel Numenius phaeopus is split into polytypic Eurasian Whimbrel Numenius phaeopus (with subspecies phaeopus, alboaxillaris, rogachevae, and variegatus) and monotypic Hudsonian Whimbrel Numenius hudsonicus.",species,Numenius hudsonicus,"Latham, 1790","Numenius hudsonicus Latham, 1790",Alaska to northern Canada; winters to southern South America,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,5952
Bufflehead,species,Waterfowl,17,6,742,buffle,avibase-FB738385,range,"range changed from ""breeds northern North America; winters to central Mexico and Greater Antilles"" to ""breeds subarctic west-central Alaska and Canada eastward to eastern Quebec and (locally) northwestern and north-central USA; winters to central Mexico and northern Florida"".",species,Bucephala albeola,"(Linnaeus, 1758)","Bucephala albeola (Linnaeus, 1758)",breeds subarctic west-central Alaska and Canada eastward to eastern Quebec and (locally) northwestern and north-central USA; winters to central Mexico and northern Florida,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,717
Red-breasted Nuthatch,species,Nuthatches,17,3,26937,rebnut,avibase-0716A71C,NA,NA,species,Sitta canadensis,"Linnaeus, 1766","Sitta canadensis Linnaeus, 1766",coniferous forest of North America,Passeriformes,Sittidae (Nuthatches),NA,NA,26688
Willow Flycatcher,species,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",3,3,16952,wilfly,avibase-5BC4E0EF,NA,NA,species,Empidonax traillii,"(Audubon, 1828)","Empidonax traillii (Audubon, 1828)","breeds southern Canada to southern California, central Texas, and eastern USA to northern edge of most southern states; winters to southern Mexico and northwestern South America",Passeriformes,Tyrannidae (Tyrant Flycatchers),NA,NA,16785
Willet,species,Shorebirds,2,2,6147,willet1,avibase-E7A14E91,NA,NA,species,Tringa semipalmata,"(Gmelin, 1789)","Tringa semipalmata (Gmelin, 1789)","breeds disjunctly in temperate zone prairie wetlands of inland central Alberta to southwestern Manitoba, southward to northeastern California and northern Nebraska; and in coastal saltmarshes from coastal Newfoundland to Florida and Gulf of Mexico southward to Tamaulipas; Bahamas, most Greater Antilles, and scattered islands elsewhere in Caribbean including Los Roques (north of Venezuela); winters to coasts of northern California to northern Chile and Galapagos, and New Jersey through Caribbean to northeastern Brazil",Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,6085
