station,valid,p01m
SBA,9/16/2017 9:53,0
SBA,9/16/2017 10:53,0
SBA,9/16/2017 11:53,0
SBA,9/16/2017 12:53,0
SBA,9/16/2017 13:53,0
SBA,9/16/2017 14:53,0
SBA,9/16/2017 15:53,0
SBA,9/16/2017 16:53,0
SBA,9/16/2017 17:53,0
SBA,9/16/2017 18:53,0
SBA,9/16/2017 19:53,0
SBA,9/16/2017 20:53,0
SBA,9/16/2017 21:53,0
SBA,9/16/2017 22:53,0
SBA,9/16/2017 23:53,0
SBA,9/17/2017 0:20,0
SBA,9/17/2017 0:53,0
SBA,9/17/2017 1:34,0
SBA,9/17/2017 1:43,0
SBA,9/17/2017 1:53,0
SBA,9/17/2017 2:53,0
SBA,9/17/2017 3:21,0
SBA,9/17/2017 3:53,0
SBA,9/17/2017 4:24,0
SBA,9/17/2017 4:49,0
SBA,9/17/2017 4:53,0
SBA,9/17/2017 5:45,0
SBA,9/17/2017 5:53,0
SBA,9/17/2017 6:53,0
SBA,9/17/2017 7:53,0
SBA,9/17/2017 8:53,0
SBA,9/17/2017 9:51,0
SBA,9/17/2017 9:53,0
SBA,9/17/2017 10:04,0
SBA,9/17/2017 10:19,0
SBA,9/17/2017 10:28,0
SBA,9/17/2017 10:53,0
SBA,9/17/2017 11:53,0
SBA,9/17/2017 12:53,0
SBA,9/17/2017 13:53,0
SBA,9/17/2017 14:53,0
SBA,9/17/2017 15:53,0
SBA,9/17/2017 16:53,0
SBA,9/17/2017 17:53,0
SBA,9/17/2017 18:53,0
SBA,9/17/2017 19:53,0
SBA,9/17/2017 20:53,0
SBA,9/17/2017 21:53,0
SBA,9/17/2017 22:53,0
SBA,9/17/2017 23:53,0
SBA,9/18/2017 0:53,0
SBA,9/18/2017 1:28,0
SBA,9/18/2017 1:53,0
SBA,9/18/2017 2:53,0
SBA,9/18/2017 3:23,0
SBA,9/18/2017 3:32,0
SBA,9/18/2017 3:39,0
SBA,9/18/2017 3:53,0
SBA,9/18/2017 4:09,0
SBA,9/18/2017 4:24,0
SBA,9/18/2017 4:41,0
SBA,9/18/2017 4:53,0
SBA,9/18/2017 5:18,0
SBA,9/18/2017 5:28,0
SBA,9/18/2017 5:53,0
SBA,9/18/2017 6:53,0
SBA,9/18/2017 7:53,0
SBA,9/18/2017 7:56,0
SBA,9/18/2017 8:28,0
SBA,9/18/2017 8:53,0
SBA,9/18/2017 9:53,0
SBA,9/18/2017 10:53,0
SBA,9/18/2017 11:53,0
SBA,9/18/2017 12:53,0
SBA,9/18/2017 13:53,0
SBA,9/18/2017 14:53,0
SBA,9/18/2017 15:53,0
SBA,9/18/2017 16:53,0
SBA,9/18/2017 17:53,0
SBA,9/18/2017 18:53,0
SBA,9/18/2017 19:53,0
SBA,9/18/2017 20:53,0
SBA,9/18/2017 21:53,0
SBA,9/18/2017 22:53,0
SBA,9/18/2017 23:53,0
SBA,9/19/2017 0:53,0
SBA,9/19/2017 1:53,0
SBA,9/19/2017 2:53,0
SBA,9/19/2017 3:53,0
SBA,9/19/2017 4:53,0
SBA,9/19/2017 5:18,0
SBA,9/19/2017 5:53,0
SBA,9/19/2017 6:16,0
SBA,9/19/2017 6:53,0
SBA,9/19/2017 7:01,0
SBA,9/19/2017 7:53,0
SBA,9/19/2017 8:26,0
SBA,9/19/2017 8:53,0
SBA,9/19/2017 9:53,0
SBA,9/19/2017 10:53,0
SBA,9/19/2017 11:53,0
SBA,9/19/2017 12:53,0
SBA,9/19/2017 13:53,0
SBA,9/19/2017 14:53,0
SBA,9/19/2017 15:48,0
SBA,9/19/2017 15:53,0
SBA,9/19/2017 16:53,0
SBA,9/19/2017 17:53,0
SBA,9/19/2017 18:53,0
SBA,9/19/2017 19:53,0
SBA,9/19/2017 20:53,0
SBA,9/19/2017 21:53,0
SBA,9/19/2017 22:53,0
SBA,9/19/2017 23:53,0
SBA,9/20/2017 0:53,0
SBA,9/20/2017 1:53,0
SBA,9/20/2017 2:53,0
SBA,9/20/2017 3:53,0
SBA,9/20/2017 4:53,0
SBA,9/20/2017 5:53,0
SBA,9/20/2017 6:53,0
SBA,9/20/2017 7:53,0
SBA,9/20/2017 8:53,0
SBA,9/20/2017 9:53,0
SBA,9/20/2017 10:53,0
SBA,9/20/2017 11:53,0
SBA,9/20/2017 12:53,0
SBA,9/20/2017 13:53,0
SBA,9/20/2017 14:53,0
