eBird species code 2018,sort v2018,category,English name,scientific name,range,order,family,eBird species group,extinct,extinct year,,,,,,,,,,,,,,,,,,,
,18331.0,subspecies,,Coracina papuensis elegans,"Solomon Is. (New Georgia Group, Rendova and Guadalcanal)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18332.0,subspecies,,Coracina papuensis eyerdami,Malaita (Solomon Islands),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18333.0,subspecies,,Coracina papuensis timorlaoensis,Tanimbar Islands (Banda Sea),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18334.0,subspecies,,Coracina papuensis hypoleuca,"north central Australia (northeastern Western Australia to northwestern Queensland); nonbreeding migrant north to Tanimbar, Kai, and Aru island groups probably this subspecies",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18335.0,subspecies,,Coracina papuensis apsleyi,Melville and Bathurst Islands (Northern Territory),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18336.0,subspecies,,Coracina papuensis artamoides,C and eastern Queensland to n New South Wales),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18337.0,subspecies,,Coracina papuensis robusta,N-c and e NSW to sw Victoria and adj. se South Australia,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
molcus1,18338.0,species,Moluccan Cuckooshrike,Coracina atriceps,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18339.0,subspecies,,Coracina atriceps magnirostris,"N Moluccas (Ternate, Halmahera, Bacan and Kasiruta)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18340.0,subspecies,,Coracina atriceps atriceps,Seram (s Moluccas),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
whbcus4,18341.0,species,Manus Cuckooshrike,Coracina ingens,Admiralty Islands (Manus and Los Negros),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
melcus1,18342.0,species,South Melanesian Cuckooshrike,Coracina caledonica,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18343.0,subspecies,,Coracina caledonica thilenii,"Vanuatu (Espíritu Santo, Malo and Malakula)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18344.0,subspecies,,Coracina caledonica seiuncta,Erromango (Vanuatu),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18345.0,subspecies,,Coracina caledonica lifuensis,Lifou (Loyalty Islands),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18346.0,subspecies,,Coracina caledonica caledonica,New Caledonia,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
larcus1,18347.0,species,Large Cuckooshrike,Coracina macei,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
larcuc1,18348.0,group (polytypic),Large Cuckooshrike (Indian),Coracina macei macei/layardi,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18349.0,subspecies,,Coracina macei macei,India south of the Himalayas (Garhwal to Travancore),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18350.0,subspecies,,Coracina macei layardi,Sri Lanka,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
larcuc2,18351.0,group (polytypic),Large Cuckooshrike (Large),Coracina macei [nipalensis Group],,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18352.0,subspecies,,Coracina macei nipalensis,"Lower Himalayas of India to Nepal, Sikkim and w Assam",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18353.0,subspecies,,Coracina macei andamana,Andaman Islands,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18354.0,subspecies,,Coracina macei siamensis,"SW China (se Yunnan) to Myanmar, pen. Thailand, s Indochina",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18355.0,subspecies,,Coracina macei rexpineti,"SE China (Fujian, Guangdong and Yunnan) to n Laos and Taiwan",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18356.0,subspecies,,Coracina macei larvivora,Hainan (s China),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
larcuc3,18357.0,group (monotypic),Large Cuckooshrike (Malay),Coracina macei larutensis,peninsular Malaysia,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
babcus1,18358.0,species,Bar-bellied Cuckooshrike,Coracina striata,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
babcuc3,18359.0,group (polytypic),Bar-bellied Cuckooshrike (Bar-bellied),Coracina striata [striata Group],,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18360.0,subspecies,,Coracina striata sumatrensis,"central and southern Thai-Malay Peninsula, Sumatra, and Borneo",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18361.0,subspecies,,Coracina striata bungurensis,Anambas and Natuna islands (South China Sea),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18362.0,subspecies,,Coracina striata simalurensis,Simeulue I. (off Sumatra),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18363.0,subspecies,,Coracina striata babiensis,Babi I. (off Sumatra),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18364.0,subspecies,,Coracina striata kannegieteri,Nias I. (off Sumatra),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18365.0,subspecies,,Coracina striata enganensis,Enggano I. (off Sumatra),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18366.0,subspecies,,Coracina striata vordermani,Kangean Islands (Java Sea),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18367.0,subspecies,,Coracina striata striata,"Philippines (Luzon, Polillo and Lubang)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18368.0,subspecies,,Coracina striata mindorensis,"Philippines (Mindoro, Libagao and Tablas)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18369.0,subspecies,,Coracina striata boholensis,"Philippines (Bohol, Leyte, Panaon, Calicoan and Samar)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18370.0,subspecies,,Coracina striata cebuensis,Cebu (Philippines). Probably extinct,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18371.0,subspecies,,Coracina striata kochii,"S Philippines (Mindanao, Nipa and Basilan)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18372.0,subspecies,,Coracina striata difficilis,"S Philippines (Palawan, Busuanga and Balabac)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18373.0,subspecies,,Coracina striata guillemardi,Sulu Archipelago,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
babcuc5,18374.0,group (monotypic),Bar-bellied Cuckooshrike (Visayan),Coracina striata panayensis,"Philippines (Guimaras, Masbate, Panay, Ticao and Negros)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
andcus1,18375.0,species,Andaman Cuckooshrike,Coracina dobsoni,Andaman Islands,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
suncus1,18376.0,species,Sunda Cuckooshrike,Coracina larvata,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18377.0,subspecies,,Coracina larvata melanocephala,Mts. of Sumatra,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18378.0,subspecies,,Coracina larvata normani,Mts. of Borneo,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18379.0,subspecies,,Coracina larvata larvata,Mts. of Java,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
javcus1,18380.0,species,Javan Cuckooshrike,Coracina javensis,Java and Bali,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
walcus1,18381.0,species,Wallacean Cuckooshrike,Coracina personata,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18382.0,subspecies,,Coracina personata pollens,"Kai Islands (Kai Kecil, Kai Besar and Add)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18383.0,subspecies,,Coracina personata floris,"Lesser Sundas (Sumbawa, Komodo, Rinca, Besar and Flores)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18384.0,subspecies,,Coracina personata alfrediana,Lesser Sundas (Lomblen and Alor),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18385.0,subspecies,,Coracina personata sumbensis,Sumba (Lesser Sundas),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18386.0,subspecies,,Coracina personata personata,"Lesser Sundas (Roti, Semau, Timor, Wetar, Leti, Moa, Sermata)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18387.0,subspecies,,Coracina personata unimoda,"Tanimbar Islands (Yamdena, Larat and Loetoe)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
burcus1,18388.0,species,Buru Cuckooshrike,Coracina fortis,Forests of Buru (s Moluccas),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
whrcus1,18389.0,species,White-rumped Cuckooshrike,Coracina leucopygia,Lowlands of Sulawesi and adjacent islands,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
slacus1,18390.0,species,Slaty Cuckooshrike,Coracina schistacea,Banggai and Sula islands (off Sulawesi),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
cuckoo2,18391.0,spuh,Coracina sp.,Coracina sp.,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
ghacus1,18392.0,species,Ghana Cuckooshrike,Lobotos lobatus,"E Sierra Leone to Liberia, Ivory Coast and s Ghana",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
oricus1,18393.0,species,Oriole Cuckooshrike,Lobotos oriolinus,"S Cameroon to sw C African Republic, e Democratic Republic of the Congo and Gabon",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
blkcus1,18394.0,species,Black Cuckooshrike,Campephaga flava,"Angola to Kenya, Tanzania, Mozambique and South Africa",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
petcus1,18395.0,species,Petit's Cuckooshrike,Campephaga petiti,"SE Nigeria and Cameroon to ne Democratic Republic of the Congo, w Uganda and w Kenya",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
rescus1,18396.0,species,Red-shouldered Cuckooshrike,Campephaga phoenicea,"Senegambia to southern Sudan, Ethiopia, and Eritrea, south to northern Congo, northern Democratic Republic of the Congo, Uganda, and western Kenya",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
putcus1,18397.0,species,Purple-throated Cuckooshrike,Campephaga quiscalina,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18398.0,subspecies,,Campephaga quiscalina quiscalina,"Guinea and Sierra Leone to Cameroon, Zambia and n Angola",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18399.0,subspecies,,Campephaga quiscalina martini,E Democratic Republic of the Congo to Uganda and c Kenya,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18400.0,subspecies,,Campephaga quiscalina muenzneri,Highlands of e Tanzania,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
afrcuc2,18401.0,spuh,african cuckooshrike sp.,Campephaga sp.,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
golcus1,18402.0,species,Golden Cuckooshrike,Campochaera sloetii,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18403.0,subspecies,,Campochaera sloetii sloetii,northern New Guinea (Bird's Head to the Ramu River),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18404.0,subspecies,,Campochaera sloetii flaviceps,SE New Guinea (Mimika River to Port Moresby),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
mcgcus1,18405.0,species,McGregor's Cuckooshrike,Malindangia mcgregori,Mts. of Mindanao (s Philippines),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
poltri1,18406.0,species,Polynesian Triller,Lalage maculosa,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18407.0,subspecies,,Lalage maculosa modesta,N and c Vanuatu,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18408.0,subspecies,,Lalage maculosa ultima,Efate (Vanuatu),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18409.0,subspecies,,Lalage maculosa melanopygia,Santa Cruz and Utupua (Solomon Is.),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18410.0,subspecies,,Lalage maculosa vanikorensis,Vanikoro (Solomon Is.),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18411.0,subspecies,,Lalage maculosa soror,Kadavu (Fiji),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18412.0,subspecies,,Lalage maculosa pumila,Viti Levu (Fiji),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18413.0,subspecies,,Lalage maculosa mixta,Fiji (Ovalau and adjacent islands),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18414.0,subspecies,,Lalage maculosa woodi,"Vanua Levu, Taveuni and Oamea (Fiji Is.)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18415.0,subspecies,,Lalage maculosa rotumae,Rotuma (Fiji),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18416.0,subspecies,,Lalage maculosa nesophila,Lau Archipelago (Fiji),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18417.0,subspecies,,Lalage maculosa vauana,Tonga (Vava'u Group),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18418.0,subspecies,,Lalage maculosa tabuensis,"Ha'apai, Nomuka and Tongatapu (Tonga)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18419.0,subspecies,,Lalage maculosa keppeli,Niuatoputapu and Tafahi (extreme n Tonga),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18420.0,subspecies,,Lalage maculosa futunae,Futuna and Alofi islands (Wallis and Futuna Islands),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18421.0,subspecies,,Lalage maculosa whitmeei,Niue I. (c Pacific),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18422.0,subspecies,,Lalage maculosa maculosa,Western Samoa (Upolu and Savai'i),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
samtri1,18423.0,species,Samoan Triller,Lalage sharpei,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18424.0,subspecies,,Lalage sharpei sharpei,Highlands of Upolu (Western Samoa),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18425.0,subspecies,,Lalage sharpei tenebrosa,Highlands of Savai'i (Western Samoa),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
lottri1,18426.0,species,Long-tailed Triller,Lalage leucopyga,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18427.0,subspecies,,Lalage leucopyga affinis,Solomon Islands (Makira and Ugi),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18428.0,subspecies,,Lalage leucopyga deficiens,Vanuatu (Torres I. and Banks Group),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18429.0,subspecies,,Lalage leucopyga albiloris,C and n Vanuatu,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18430.0,subspecies,,Lalage leucopyga simillima,S Vanuatu and Loyalty Islands,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18431.0,subspecies,,Lalage leucopyga montrosieri,New Caledonia,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18432.0,subspecies,,Lalage leucopyga leucopyga,Norfolk I. Extinct,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,1,xxxx,,,,,,,,,,,,,,,,,,,
whwtri2,18433.0,species,White-shouldered Triller,Lalage sueurii,"E Java, Bali, Sulawesi subregion and Lesser Sundas",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
whwtri1,18434.0,species,White-winged Triller,Lalage tricolor,Port Moresby area (New Guinea); s Torres Strait is.; mainland Australia,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
blbtri1,18435.0,species,Black-browed Triller,Lalage atrovirens,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
bkbtri1,18436.0,group (monotypic),Black-browed Triller (Black-browed),Lalage atrovirens atrovirens,"Misool, Salawati and Waigeo islands and n New Guinea",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
bkbtri2,18437.0,group (monotypic),Black-browed Triller (Biak),Lalage atrovirens leucoptera,Biak I. (n New Guinea),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
whbtri1,18438.0,species,White-browed Triller,Lalage moesta,Tanimbar Islands (Arafura Sea),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
vartri1,18439.0,species,Varied Triller,Lalage leucomela,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18440.0,subspecies,,Lalage leucomela keyensis,"Kai Islands (Kai Kecil, Kai Besar and Add)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18441.0,subspecies,,Lalage leucomela polygrammica,Aru Islands and e New Guinea,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18442.0,subspecies,,Lalage leucomela obscurior,D'Entrecasteaux Archipelago,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18443.0,subspecies,,Lalage leucomela trobriandi,Trobriand Islands,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18444.0,subspecies,,Lalage leucomela pallescens,Louisiade Archipelago (Misima and Tagula),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18445.0,subspecies,,Lalage leucomela falsa,"Bismarck Archipelago (New Britain, Umboi and Duke of York)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18446.0,subspecies,,Lalage leucomela karu,New Ireland (Bismarck Archipelago),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18447.0,subspecies,,Lalage leucomela albidior,New Hanover (Bismarck Archipelago),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18448.0,subspecies,,Lalage leucomela ottomeyeri,Lihir Islands (Bismarck Archipelago),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18449.0,subspecies,,Lalage leucomela tabarensis,Tabar I. (Bismarck Archipelago),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18450.0,subspecies,,Lalage leucomela sumunae,Dyaul I. (Bismarck Archipelago),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18451.0,subspecies,,Lalage leucomela macrura,NW Western Australia (w Kimberley Division),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18452.0,subspecies,,Lalage leucomela rufiventris,"N Northern Territory (Melville I., Arnhem Land, Groote Eylandt)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18453.0,subspecies,,Lalage leucomela yorki,N Queensland (islands in s Torres Strait and Cape York Pen.),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18454.0,subspecies,,Lalage leucomela leucomela,E Australia (c Queensland to c New South Wales),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
vartri3,18455.0,species,Mussau Triller,Lalage conjuncta,St. Matthias I. (Bismarck Archipelago),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
bawtri1,18456.0,species,Black-and-white Triller,Lalage melanoleuca,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
bawtri2,18457.0,group (monotypic),Black-and-white Triller (Northern),Lalage melanoleuca melanoleuca,N Philippines (Luzon and Mindoro),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
bawtri3,18458.0,group (monotypic),Black-and-white Triller (Southern),Lalage melanoleuca minor,"S Philippines (Samar, Leyte and Mindanao)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
whrtri1,18459.0,species,White-rumped Triller,Lalage leucopygialis,Sulawesi subregion and Sula Islands,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
pietri1,18460.0,species,Pied Triller,Lalage nigra,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18461.0,subspecies,,Lalage nigra davisoni,Nicobar Islands,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18462.0,subspecies,,Lalage nigra striga,"Malay Peninsula, Sumatra, Java and offshore islands",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18463.0,subspecies,,Lalage nigra nigra,Borneo and Philippine Islands,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
rubtri1,18464.0,species,Rufous-bellied Triller,Lalage aurea,"N Moluccas (Morotai, Ternate, Halmahera, Bacan, Kasiruta, Obi)",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
reucus1,18465.0,species,Reunion Cuckooshrike,Lalage newtoni,Forests of nw Réunion (w Mascarene Islands),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
maucus1,18466.0,species,Mauritius Cuckooshrike,Lalage typica,Native forests of Mauritius (w Mascarene Islands),Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
bkwcus1,18467.0,species,Black-winged Cuckooshrike,Lalage melaschistos,,Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
,18468.0,subspecies,,Lalage melaschistos melaschistos,"N Pakistan, Himalayas and ne Indian subcontinent",Passeriformes,Campephagidae (Cuckooshrikes),Cuckooshrikes,,,,,,,,,,,,,,,,,,,,,
