eBird species code 2018,sort v2018,category,English name,scientific name,range,order,family,eBird species group,extinct,extinct year,,,,,,,,,,,,,,,,,,,
vartin1,111.0,species,Variegated Tinamou,Crypturellus variegatus,"Colombia to Venezuela, the Guianas, n Bolivia and Amaz. Brazil",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
thitin1,112.0,species,Thicket Tinamou,Crypturellus cinnamomeus,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
thitin2,113.0,group (monotypic),Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,Coastal w Mexico (Sinaloa to Guerrero),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
thitin3,114.0,group (polytypic),Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,115.0,subspecies,,Crypturellus cinnamomeus soconuscensis,Pacific slope of s Mexico (Oaxaca and Chiapas),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,116.0,subspecies,,Crypturellus cinnamomeus mexicanus,Atlantic coast of Mexico (Tamaulipas to Puebla),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,117.0,subspecies,,Crypturellus cinnamomeus sallaei,"S Mexico (Puebla to s Veracruz, Oaxaca and Chiapas)",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,118.0,subspecies,,Crypturellus cinnamomeus goldmani,SE Mexico (Yucatán Peninsula) to n Guatemala and n Belize,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,119.0,subspecies,,Crypturellus cinnamomeus vicinior,Highlands of s Mexico (Chiapas) to Guatemala and c Honduras,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,120.0,subspecies,,Crypturellus cinnamomeus cinnamomeus,Coastal se Mexico (Chiapas) to El Salvador and Honduras,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,121.0,subspecies,,Crypturellus cinnamomeus delattrii,Pacific lowlands of Nicaragua,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,122.0,subspecies,,Crypturellus cinnamomeus praepes,Lowlands of nw Costa Rica,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
rustin1,123.0,species,Rusty Tinamou,Crypturellus brevirostris,"northwestern Brazil, and probably adjacent Colombia; southern Guyana and southern Suriname; French Guiana and northeastern Amazonian Brazil (Amapá)",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
bartin2,124.0,species,Bartlett's Tinamou,Crypturellus bartletti,"Tropical w Amazonian Brazil, e Peru and n Bolivia",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
smbtin1,125.0,species,Small-billed Tinamou,Crypturellus parvirostris,Patchily distributed Amazon basin south to ne Argentina,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
bartin1,126.0,species,Barred Tinamou,Crypturellus casiquiare,Extreme e Colombia and adjacent s Venezuela,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
tattin1,127.0,species,Tataupa Tinamou,Crypturellus tataupa,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,128.0,subspecies,,Crypturellus tataupa inops,Marañón Valley of nw Peru,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,129.0,subspecies,,Crypturellus tataupa peruvianus,W-central Peru (Chanchamayo Valley of Junín),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,130.0,subspecies,,Crypturellus tataupa lepidotus,"NE Brazil (Maranhão, Ceará, Piauí, Pernambuco and Bahia)",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,131.0,subspecies,,Crypturellus tataupa tataupa,"E Bolivia to Paraguay, s Brazil and n Argentina",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
cryptu1,132.0,spuh,Crypturellus sp.,Crypturellus sp.,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
rewtin1,133.0,species,Red-winged Tinamou,Rhynchotus rufescens,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,134.0,subspecies,,Rhynchotus rufescens catingae,Central and ne Brazil,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,135.0,subspecies,,Rhynchotus rufescens rufescens,"SE Peru to Bolivia, e Paraguay, se Brazil and ne Argentina",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,136.0,subspecies,,Rhynchotus rufescens pallescens,N Argentina (e Formosa to Río Negro),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
huatin1,137.0,species,Huayco Tinamou,Rhynchotus maculicollis,Andes of nw Bolivia to nw Argentina,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
tactin1,138.0,species,Taczanowski's Tinamou,Nothoprocta taczanowskii,Andes of s-central Peru (Junín to Puno),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
orntin1,139.0,species,Ornate Tinamou,Nothoprocta ornata,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,140.0,subspecies,,Nothoprocta ornata branickii,Puna of central Peru (Ancash to Apurímac),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,141.0,subspecies,,Nothoprocta ornata ornata,Andes of se Peru to Bolivia and extreme n Chile,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,142.0,subspecies,,Nothoprocta ornata rostrata,Andes of nw Argentina (Jujuy and La Rioja),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
chitin1,143.0,species,Chilean Tinamou,Nothoprocta perdicaria,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,144.0,subspecies,,Nothoprocta perdicaria perdicaria,Semiarid grasslands of n-central Chile (Atacama to Ñuble),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,145.0,subspecies,,Nothoprocta perdicaria sanborni,south central Chile (Maule to Llanquihue),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
